participant,chain,generation,trial,target,ent_type,code_string,markerPres
D_41,chain4,3,36,to take a photo,act,"2hCamera,1hPressButton",n
D_41,chain4,3,38,bible,obj,"2hBook,2hCloseBook,2hCross",n
D_41,chain4,3,40,camera,obj,"1hPressButton,1hPointAtObj,2hCamera,1hPressButton",y
D_41,chain4,3,42,microphone,obj,"1hMicrophone,1hSphere",n
D_41,chain4,3,44,to sing,act,2hSingToAudience,n
D_41,chain4,3,46,hair salon,loc,"2hRoom,1hWaveToClient,2hCutHair",y
D_42,chain4,4,1,to sing,act,1hSingToAudience,n
D_42,chain4,4,3,singer,person,"1hPointAtSelf,1hSingToAudience",y
D_42,chain4,4,5,to make an arrest,act,2hHandcuffs,n
D_42,chain4,4,7,concert hall,loc,"2hRoom,1hTable,2hSingToAudience",y
D_42,chain4,4,9,church,loc,"1hOpenDoor,2hPray",n
D_42,chain4,4,11,photographer,person,"1hPointAtSelf,2hCamera,2hPressButton",y
D_42,chain4,4,13,frying pan,obj,"1hHoldAndShakeHandleOfPan,1hFryingPan",n
D_42,chain4,4,15,restaurant,loc,"1hEatMeal,1hThankWaitor",n
D_42,chain4,4,17,microphone,obj,"2hMicrophone,2hSphere",n
D_42,chain4,4,19,scissors,obj,1hScissors,n
D_42,chain4,4,21,hairdresser,person,"1hPointAtSelf,2hCutHair",y
D_42,chain4,4,23,to take a photo,act,"2hCamera,1hPressButton",n
D_42,chain4,4,25,to give a haircut,act,2hCutHair,n
D_42,chain4,4,27,camera,obj,"2hCamera,2hPressButton",n
D_42,chain4,4,29,darkroom,loc,"1hLookInDistance,2hFeelForWalls",n
D_42,chain4,4,31,to preach,act,"2hBook,2hCollar,2hBook",n
D_42,chain4,4,33,bible,obj,"2hBook,2hCloseBook,2hCross",n
D_42,chain4,4,35,handcuffs,obj,2hHandcuffs,n
D_42,chain4,4,37,chef,person,"2hChefHat,1hHoldAndShakeHandleOfPan",n
D_42,chain4,4,39,prison,loc,"2hRoom,2hPrisonBars",y
D_42,chain4,4,41,police officer,person,"1hTapOnGlass,1hBadge",n
D_42,chain4,4,43,hair salon,loc,"2hRoom,1hCutHair",y
D_42,chain4,4,45,vicar,person,"2hCollar,1hShakeFingerInAir",n
D_42,chain4,4,47,to cook,act,"1hFryingPan,1hFire,1hAddFood",n
D_52,chain5,5,1,singer,person,"1hPointAtSelf,1hSingToAudience",y
D_52,chain5,5,3,police officer,person,"1hPointAtSelf,2hBadge,1hShakeFingerInAir",y
D_52,chain5,5,5,chef,person,"2hMoustache,2hChefHat",n
D_52,chain5,5,7,restaurant,loc,"2hBook,1hPointAtMenu,2hEatMeal",n
D_52,chain5,5,9,hair salon,loc,"2hRoom,1hCutHair",y
D_52,chain5,5,11,scissors,obj,1hScissors,n
D_52,chain5,5,13,frying pan,obj,"1hHoldAndShakeHandleOfPan,1hFryingPan,1hHoldAndShakeHandleOfPan",n
D_52,chain5,5,15,to make an arrest,act,"1hShakeFingerInAir,2hHandCuffs,1hShakeFingerInAir",y
D_52,chain5,5,17,photographer,person,"1hPointAtSelf,2hCamera,1hPressButton",y
