participant,chain,generation,trial,target,ent_type,code_string,markerPres
C_56,chain5,3,11,prison,loc,"2hHandcuffs,1hOpenDoor,2hHandcuffs,1hOpenDoor,2hRoom,2hHandcuffs",y
C_56,chain5,3,13,darkroom,loc,2hFeelForWalls,n
C_56,chain5,3,15,to preach,act,"2hBook,1hShakeFingerInAir,2hBook,1hPointAtMenu,1hShakeFingerInAir",y
C_56,chain5,3,17,concert hall,loc,"1hOpenDoor,2hSingToAudience,1hOpenDoor,2hRoom,2hSingToAudience,1hOpenDoor,2hSingToAudience,2hRoom",y
C_56,chain5,3,19,frying pan,obj,"1hHoldAndShakeHandleOfPan,1hPointAtObj,1hHoldAndShakeHandleOfPan",y
C_56,chain5,3,21,to sing,act,2hSingToAudience,n
C_56,chain5,3,23,photographer,person,"1hPointAtSelf,2hCamera,1hPressButton,1hPointAtSelf",y
C_56,chain5,3,25,singer,person,"1hPointAtSelf,2hSingToAudience,1hPointAtSelf,2hSingToAudience",y
C_56,chain5,3,27,chef,person,"1hPointAtSelf,2hMoustache,2hChefHat,2hCookingPot",y
C_56,chain5,3,29,to make an arrest,act,"1hPointAtCriminal,2hHandcuffs,1hShakeFingerInAir,1hPointAtCriminal,2hHandcuffs",y
C_56,chain5,3,31,to give a haircut,act,2hCutHair,n
C_56,chain5,3,33,bible,obj,"2hBook,2hCloseBook,2hBook,1hPointAtObj,2hBook,1hCross,2hBook",y
C_56,chain5,3,35,to take a photo,act,"2hCamera,1hPressButton",n
C_56,chain5,3,37,vicar,person,"1hPointAtSelf,2hBook,1hShakeFingerInAir,2hBook,1hPointAtSelf,1hCross,2hPray,2hBook,1hPointAtSelf",y
C_56,chain5,3,39,police officer,person,"1hPointAtSelf,1hShakeFingerInAir,2hHandcuffs,1hShakeFingerInAir,1hPoliceHat",y
C_56,chain5,3,41,restaurant,loc,"1hOpenDoor,2hBook,1hPointAtMenu,2hEatMeal",y
C_56,chain5,3,43,church,loc,"1hOpenDoor,2hPray,2hBook,1hCross,2hPray,2hOpenDoor",y
C_56,chain5,3,45,scissors,obj,"1hScissors,1hPointAtObj,1hScissors",y
C_56,chain5,3,47,handcuffs,obj,2hHandcuffs,n
C_18,chain1,4,1,photographer,person,"2hPointAtSelf,2hCamera,1hPressButton,1hPointAtSelf,2hCamera,1hPressButton,1hPointAtSelf,2hCamera,1hPressButton,1hPointAtSelf,2hCamera,1hPressButton",y
C_18,chain1,4,3,prison,loc,"2hRoom,2hHandcuffs",y
C_18,chain1,4,5,to give a haircut,act,2hCutHair,n
C_18,chain1,4,7,to cook,act,"2hHoldAndShakeHandleOfPan,1hCookingPot",n
C_18,chain1,4,9,to sing,act,2hSingToAudience,n
C_18,chain1,4,11,hairdresser,person,"2hPointAtSelf,2hCutHair",y
C_18,chain1,4,13,to preach,act,"2hReadLyrics,1hShakeFingerInAir,2hReadLyrics",n
C_18,chain1,4,15,concert hall,loc,"2hRoom,2hSingToAudience",y
C_18,chain1,4,17,microphone,obj,"1hMicrophone,1hPointAtObj",y
C_18,chain1,4,19,restaurant,loc,"2hRoom,1hBook,2hWriteTicket",y
C_18,chain1,4,21,handcuffs,obj,"2hHandcuffs,1hPointAtObj,2hHandcuffs",y
C_18,chain1,4,23,darkroom,loc,2hFeelForWalls,n
C_18,chain1,4,25,scissors,obj,"1hScissors,1hPointAtObj,1hScissors",y
C_18,chain1,4,27,church,loc,"2hRoom,2hReadLyrics,1hShakeFingerInAir",y
